Artist,Title,Release Date,Price,Status
David Bowie,Changesonebowie [Black Vinyl] [LP] - VINYL,05/20/2016 ,20.99,Check Stores
-1893-- Artist:Grateful Dead,American Beauty [180g] [LP] - VINYL,09/06/2011 ,23.99,Check Stores
Green Day,Greatest Hits: God's Favorite Band [LP] - VINYL,11/17/2017 ,26.99,Check Stores
Caribou,Swim [LP] - VINYL,04/20/2010 ,23.99,Sold Out
AFI,Burials [LP] - VINYL,10/22/2013 ,22.99,Sold Out
Original Soundtrack,Shrek [Limited Edition] [Black Vinyl] [LP] - VINYL,08/02/2019 ,16.99,Sold Out
Briana Marela,Call It Love [LP] - VINYL,08/04/2017 ,19.99,Sold Out
The Cure,Greatest Hits [LP] - VINYL,06/30/2017 ,33.99,Check Stores
Black Sabbath,Paranoid [LP] - VINYL,08/05/2016 ,20.99,Check Stores
Eric Clapton,Journeyman [LP] - VINYL,11/09/2018 ,29.99,Sold Out
"Tyler, The Creator",Flower Boy [LP] - VINYL,12/01/2017 ,27.99,Sold Out
Justin Adams,Burning Men [Original Motion Picture Soundtrack] [LP] - VINYL,03/01/2019 ,32.99,Sold Out
Baby Dee,The Big Bumble Bees [LP] - VINYL,02/04/2014 ,19.99,Sold Out
The Beach Boys,Little Deuce Coupe [LP] - VINYL,02/17/2015 ,39.99,Sold Out
Fear of Men,Loom [LP] - VINYL,04/22/2014 ,14.99,Sold Out
Shadowy Men on a Shadowy Planet,"Dim the Lights, Chill the Ham [LP] - VINYL",10/14/2016 ,19.99,Sold Out
Slipknot,Slipknot [US Bonus Tracks #1],03/07/2000 Parental Advisory,19.99,Sold Out
Volbeat,"Rewind, Replay, Rebound [LP] - VINYL",08/02/2019 ,39.99,Sold Out
Lady Gaga,The Fame [LP] - VINYL,11/04/2008 ,22.99,Check Stores
Aretha Franklin,"The Atlantic Singles Collection, 1967-1970 [LP] - VINYL",09/28/2018 ,29.99,Check Stores
Godsmack,When Legends Rise [LP] - VINYL,04/27/2018 ,22.99,Check Stores
Kansas,Song for America [LP] - VINYL,03/18/2014 ,29.99,Sold Out
Led Zeppelin,Houses of the Holy [LP] - VINYL,10/27/2014 ,23.99,Check Stores
Kansas,Two for the Show [LP] - VINYL,09/25/2015 ,47.99,Sold Out
Boduf Songs,Stench of Exist [LP] - VINYL,02/03/2015 ,19.99,Sold Out
David Bowie,Blackstar [LP] - VINYL,01/08/2016 ,28.99,Check Stores
Kings of Leon,WALLS [LP] - VINYL,10/14/2016 ,20.99,Check Stores
Rush,Vapor Trails [180 Gram Vinyl] [LP] - VINYL,10/01/2013 ,28.99,Check Stores
Swans,Soundtracks for the Blind [LP] - VINYL,07/27/2018 ,69.99,Sold Out
"Dixon,Kyle / Stein,Michael","SDTRK-LP-SEASON ONE, VOL. 1",06/15/2018 ,28.99,Check Stores
Steps,Tears on the Dancefloor [Crying at the Disco Deluxe Edition] [LP] - VINYL,11/03/2017 ,29.99,Sold Out
Dusty Springfield,There's a Big Wheel 1958-1962/Springfields & Lana Sisters [LP] - VINYL,12/02/2016 ,14.99,Sold Out
Gisli,22 [LP] - VINYL,10/20/2017 ,29.99,Sold Out
YACHT,I Thought the Future Would Be Cooler [LP] - VINYL,10/16/2015 ,22.99,Sold Out
Matt Bauer,The Jessamine County Book of the Living [LP] - VINYL,06/21/2011 ,14.99,Sold Out
Wild Beasts,"Limbo, Panto [LP] - VINYL",11/04/2008 ,19.99,Sold Out
Sam Paglia,Canzoni a Tradimento [LP] - VINYL,03/23/2018 ,36.99,Sold Out
Colapesce,Infedele [LP] - VINYL,11/03/2017 ,39.99,Sold Out
Lukid,Lonely at the Top [LP] - VINYL,05/31/2019 ,23.99,Sold Out
Kodaline,Politics of Living [LP] - VINYL,10/05/2018 ,29.99,Sold Out
Sweet Valley,So Serene [LP] - VINYL,03/01/2016 ,16.99,Sold Out
Floor,Floor [LP] - VINYL,02/04/2014 ,23.99,Sold Out
Color Filter,Remix [LP] - VINYL,01/27/2017 ,9.99,Sold Out
"Bayley,Blaze",Infinite Entanglement (Uk) - VINYL,03/10/2017 ,29.99,Sold Out
Nightrage,Insidious [LP] - VINYL,07/08/2013 ,29.99,Sold Out
Monarch!,Omens [LP] - VINYL,11/11/2014 ,47.99,Sold Out
The Delta 72,The Soul of a New Machine [LP] - VINYL,08/12/1997 ,9.99,Sold Out
Manfred Hubler,Psychedelic Dance Party [LP] - VINYL,03/09/2018 ,47.99,Sold Out
The Chocolate Watchband,Revolutions Reinvented [LP] - VINYL,09/11/2012 ,32.99,Sold Out
Saez,Jours Etranges [LP] - VINYL,06/15/2014 ,29.99,Sold Out
Unisonic,Unisonic [Bonus CD] [LP] - VINYL,04/10/2012 ,29.99,Sold Out
Rikki Ililonga,Wings of Africa [LP] - VINYL,11/06/2012 ,19.99,Sold Out
Guido De Angelis,La  Tigre e Ancora Viva: Sandokan Alla Riscossa! [LP] - VINYL,07/13/2018 ,39.99,Sold Out
Young Boy,Other Summers [LP] - VINYL,04/08/2014 ,22.99,Sold Out
John Miles,Rebel [LP] - VINYL,09/16/2016 ,23.99,Sold Out
Various Artists,"Shielded by Death, Vol. 3: Exit Stage West [LP] - VINYL",03/16/2004 ,12.99,Sold Out
The Who,Live at Leeds [Deluxe Edition] [LP] - VINYL,12/02/2016 ,58.99,Sold Out
Bill Wells,Pick Up Sticks [LP] - VINYL,05/25/2004 ,19.99,Sold Out
The Nihilist Spasm Band,No Record [LP] - VINYL,08/26/2014 ,29.99,Sold Out
